Date,China,US,United_Kingdom,Italy,France,Germany,Spain,Iran
2020-04-08,82809,428654,61474,139422,83057,113296,148220,64586
2020-04-09,82883,462780,65872,143626,87366,118181,153222,66220
2020-04-10,82941,496535,74605,147577,91738,122171,158273,68192
2020-04-11,83014,526396,79874,152271,94863,124908,163027,70029
2020-04-12,83134,555313,85206,156363,121712,127854,166831,71686
2020-04-13,83213,580619,89570,159516,125394,130072,170099,73303
2020-04-14,83306,607670,94845,162488,131361,131359,172541,74877
2020-04-15,83356,636350,99483,165155,134582,134753,177644,76389
2020-04-16,83403,667592,104145,168941,147091,137698,184948,77995
2020-04-17,83760,699706,109769,172434,149130,141397,190839,79494
2020-04-18,83787,732197,115314,175925,149149,143342,191726,80868
2020-04-19,83805,758809,121172,178972,154097,145184,198674,82211
2020-04-20,83817,784326,125856,181228,156480,147065,200210,83505
2020-04-21,83853,823786,130172,183957,159297,148291,204178,84802
